,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
258,Tabas,12,IR,1541368800,22,33.6,56.92,46.4,4.6975662090000005
259,Quatre Cocos,40,MU,1541368800,88,-20.21,57.76,71.6,5.816034354
260,Gayeri,0,BF,1541371172,60,12.65,0.49,73.76180000000005,4.0712240478
261,Armizonskoye,92,RU,1541371172,93,55.95,67.67,34.431799999999996,13.9137437238
262,Bandarbeyla,24,SO,1541371172,100,9.49,50.81,78.89180000000007,15.926986384800001
263,Thompson,90,CA,1541369220,87,55.74,-97.86,33.8,5.816034354
264,Cedar City,1,US,1541368380,28,37.68,-113.06,60.98000000000005,5.816034354
265,Rawlins,90,US,1541369700,84,41.79,-107.24,33.08000000000004,23.040443787
266,Manicore,0,BR,1541371173,81,-5.81,-61.3,80.24180000000008,1.8342877577999999
267,Batagay-Alyta,48,RU,1541371182,77,67.8,130.41,-19.388199999999962,2.9527559028000003
268,Macusani,88,PE,1541371182,100,-14.07,-70.43,51.66680000000008,1.9461345723
269,Nola,64,CF,1541371182,98,3.52,16.05,68.81180000000003,2.1698282013
270,Pisco,0,PE,1541368800,30,-13.71,-76.2,71.6,11.408375078999999
271,Kozhva,64,RU,1541371183,94,65.11,57.05,14.946800000000017,0.9395132418
272,Clyde River,90,CA,1541368800,78,70.47,-68.59,8.599999999999998,17.224409433
273,Skjervoy,92,NO,1541371187,92,70.03,20.97,48.29180000000008,16.933607715300003
274,Mestec Kralove,0,CZ,1541368800,76,50.21,15.3,55.400000000000006,11.408375078999999
275,Itarema,20,BR,1541371187,80,-2.92,-39.92,78.89180000000007,14.137437352800001
276,Hambantota,92,LK,1541371187,100,6.12,81.12,76.5068,4.4067644913
277,Msanga,0,TZ,1541365200,60,-6.04,36.03,73.4,11.408375078999999
278,Mahebourg,40,MU,1541368800,88,-20.41,57.7,71.6,5.816034354
279,Tutoia,20,BR,1541367900,65,-2.76,-42.27,82.4,17.224409433
280,Camacha,75,PT,1541368800,82,33.08,-16.33,66.2,12.750536853
281,Tosno,0,RU,1541368800,87,59.54,30.88,44.6,4.47387258
282,Kudahuvadhoo,48,MV,1541371191,100,2.67,72.89,82.80680000000001,0.8276664273000001
283,Luang Prabang,0,LA,1541371191,92,19.89,102.14,56.88680000000004,1.6105941288
284,Rundu,56,NA,1541371191,88,-17.91,19.77,65.0318,6.643700781300001
285,Barcelona,20,ES,1541368800,77,41.38,2.18,60.8,4.6975662090000005
286,Edd,0,ER,1541371213,68,13.93,41.69,67.19180000000009,2.3935218303
287,Egvekinot,88,RU,1541371213,93,66.32,-179.17,25.16180000000004,2.7290622738
288,Goderich,68,CA,1541371214,79,43.74,-81.71,42.89180000000008,21.8548675533
289,Taebla,32,EE,1541371214,96,58.95,23.74,40.82180000000002,8.2095561843
290,Kalga,0,RU,1541371215,60,50.92,118.9,3.3817999999999984,3.5119899753
291,Cabo San Lucas,5,MX,1541368260,39,22.89,-109.91,84.2,12.750536853
292,Victoria,75,BN,1541368800,94,5.28,115.24,78.80000000000001,1.7224409433
293,Skibbereen,75,IE,1541370600,93,51.55,-9.27,48.2,11.408375078999999
294,Pangnirtung,32,CA,1541371223,100,66.15,-65.72,8.196800000000017,7.538475297300001
295,Wagar,92,US,1541371223,99,31.44,-87.99,68.54180000000008,6.7555475958
296,Corpus Christi,90,US,1541370660,63,27.8,-97.4,75.92000000000007,10.289906934
